name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont(Ain), Auvergne-Rhône-Alpes, France",2024-04-29,60.0,49.2,54.1,60.0,48.4,54.0,50.2,87.2,0.164,100.0,50.0,rain,0,0.0,18.6,8.0,343.9,1018.9,86.4,5.7,93.3,8.0,4,10,2024-04-29T06:27:59,2024-04-29T20:44:56,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",2024-04-29,62.5,42.7,53.0,62.5,40.6,51.9,46.8,81.2,0.0,9.7,0.0,rain,0,0.0,19.7,12.8,176.5,1017.5,72.3,6.7,221.0,19.1,9,10,2024-04-29T06:26:15,2024-04-29T21:00:52,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFAQ,remote,D1227"
"Treban, Auvergne-Rhône-Alpes, France",2024-04-29,55.4,47.1,51.7,55.4,45.6,51.5,49.6,92.4,0.152,100.0,54.17,rain,0,0.0,9.6,5.7,86.6,1018.5,94.9,6.4,65.8,5.7,4,10,2024-04-29T06:35:52,2024-04-29T20:54:17,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFLC,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",2024-04-29,75.1,48.1,61.8,75.1,48.1,61.8,45.6,59.3,0.0,0.0,0.0,,0,0.0,39.1,19.7,99.4,1016.5,67.7,8.0,220.5,19.0,8,10,2024-04-29T06:28:55,2024-04-29T20:36:40,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",2024-04-29,54.9,42.9,48.5,54.9,40.3,47.5,34.6,58.9,0.04,100.0,25.0,rain,0,2.9,21.7,7.6,92.2,1017.6,88.8,1.5,181.8,15.6,7,10,2024-04-29T06:27:41,2024-04-29T20:37:59,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",2024-04-29,72.2,52.4,62.3,72.2,52.4,62.3,49.8,64.7,0.016,100.0,8.33,rain,0,0.1,19.2,14.4,35.0,1017.4,78.3,6.9,215.6,18.6,7,10,2024-04-29T06:25:41,2024-04-29T20:32:46,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LFMD,E5975,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",2024-04-29,56.9,48.2,53.8,56.9,47.7,53.7,51.1,90.8,0.396,100.0,58.33,rain,0,0.0,11.9,9.2,346.5,1017.7,97.5,6.9,142.3,12.5,6,10,2024-04-29T06:34:47,2024-04-29T20:45:25,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFHP,LFMO"
"Mazerny, Grand Est, France",2024-04-29,62.5,44.5,53.2,62.5,40.6,52.1,44.4,74.1,0.0,41.9,0.0,rain,0,0.0,18.3,10.3,166.9,1018.3,83.1,7.3,208.1,18.0,8,10,2024-04-29T06:21:56,2024-04-29T20:56:52,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0693,EBFS,remote,F8085"
"Brassac, Occitanie, France",2024-04-29,56.3,48.1,53.8,56.3,48.1,53.8,52.4,94.8,1.158,100.0,87.5,rain,0,0.0,19.7,7.3,313.6,1017.0,96.6,4.9,27.5,2.4,1,10,2024-04-29T06:44:50,2024-04-29T20:50:36,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMU,C4848,E4692,LFMK"
"Villechétif, Grand Est, France",2024-04-29,62.4,41.1,52.9,62.4,37.1,52.2,47.5,83.3,0.028,100.0,20.83,rain,0,0.0,17.2,11.2,165.1,1018.6,80.6,6.3,87.4,7.4,3,10,2024-04-29T06:27:15,2024-04-29T20:55:12,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFSI,LFOK,LFQB,E8061"
