name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont(Ain), Auvergne-Rhône-Alpes, France",2024-04-29,65.6,50.9,57.0,65.6,50.9,57.0,52.9,87.0,0.0,93.5,0.0,rain,0,0.0,12.5,6.7,349.1,1014.6,94.8,7.9,112.8,9.7,4,10,2024-04-30T06:26:25,2024-04-30T20:46:14,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",2024-04-30,64.7,49.9,56.9,64.7,47.1,56.7,52.5,85.5,0.016,100.0,16.67,rain,0,0.0,23.7,12.8,149.4,1014.0,93.9,8.3,93.0,8.0,7,10,2024-04-30T06:24:29,2024-04-30T21:02:22,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFAQ,remote,D1227"
"Treban, Auvergne-Rhône-Alpes, France",2024-04-30,62.8,47.1,54.9,62.8,47.1,54.9,52.4,91.7,0.195,100.0,75.0,rain,0,0.0,25.7,8.2,126.7,1014.2,95.2,6.6,105.1,9.1,4,10,2024-04-30T06:34:17,2024-04-30T20:55:36,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFLC,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",2024-04-30,71.5,56.7,64.6,71.5,56.7,64.6,45.4,50.4,0.016,100.0,16.67,rain,0,0.0,45.2,20.8,111.8,1013.3,79.5,9.3,146.7,12.7,7,10,2024-04-30T06:27:27,2024-04-30T20:37:52,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",2024-04-30,55.8,45.0,49.9,55.8,41.7,48.3,34.5,55.5,0.004,100.0,4.17,rain,0,1.2,27.3,9.8,82.3,1014.3,90.6,2.2,162.8,14.0,7,10,2024-04-30T06:26:11,2024-04-30T20:39:13,0.73,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",2024-04-30,70.1,57.6,63.7,70.1,57.6,63.7,47.4,56.7,0.0,80.6,0.0,rain,0,0.0,29.8,16.0,70.1,1014.2,81.3,8.4,188.8,16.1,7,10,2024-04-30T06:24:14,2024-04-30T20:33:58,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",2024-04-30,59.8,51.5,55.9,59.8,51.5,55.9,51.0,84.0,0.096,100.0,33.33,rain,0,0.0,22.1,10.7,250.5,1014.2,94.0,8.8,90.8,8.0,5,10,2024-04-30T06:33:17,2024-04-30T20:46:39,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFHP,LFMO"
"Mazerny, Grand Est, France",2024-04-30,67.7,49.9,58.4,67.7,46.6,58.2,51.7,79.6,0.115,100.0,25.0,rain,0,0.0,19.5,11.0,161.7,1015.0,83.7,8.2,202.1,17.4,7,30,2024-04-30T06:20:10,2024-04-30T20:58:23,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"F0693,EBFS,remote,F8085"
"Brassac, Occitanie, France",2024-04-30,62.0,49.2,53.9,62.0,49.2,53.9,52.3,94.6,0.083,100.0,29.17,rain,0,0.0,29.3,9.6,89.7,1013.1,97.9,7.3,104.8,9.1,5,10,2024-04-30T06:43:24,2024-04-30T20:51:47,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFMU,C4848,E4692,LFMK"
"Villechétif, Grand Est, France",2024-04-30,69.7,51.7,58.2,69.7,51.7,58.2,53.4,85.3,0.17,100.0,37.5,rain,0,0.0,18.3,11.2,156.2,1014.8,90.5,7.4,175.3,15.1,7,30,2024-04-30T06:25:34,2024-04-30T20:56:38,0.73,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,"LFSI,LFOK,LFQB,E8061"
