name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont(Ain), Auvergne-Rhône-Alpes, France",2024-04-29,60.8,51.3,54.6,60.8,51.3,54.6,48.6,81.4,2.084,100.0,79.17,rain,0.0,0.0,31.8,9.5,191.7,1012.7,96.3,6.9,19.8,1.7,1,10,2024-04-28T06:29:34,2024-04-28T20:43:38,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",2024-04-28,60.5,49.9,54.2,60.5,44.8,54.0,45.5,74.2,0.016,100.0,8.33,rain,0.0,0.0,37.6,17.2,196.0,1007.3,77.2,10.7,152.3,13.3,7,10,2024-04-28T06:28:02,2024-04-28T20:59:21,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFAQ,D1227"
"Treban, Auvergne-Rhône-Alpes, France",2024-04-28,60.3,46.4,53.1,60.3,42.5,52.1,44.9,75.3,0.143,100.0,29.17,rain,0.0,0.0,23.5,14.1,222.0,1011.6,89.2,10.4,183.6,15.9,9,10,2024-04-28T06:37:28,2024-04-28T20:52:58,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFLC,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",2024-04-28,58.9,48.1,54.8,58.9,45.4,54.7,46.6,75.5,0.969,100.0,50.0,rain,0.0,0.0,38.7,9.4,101.9,1015.4,99.8,10.9,112.0,9.7,3,10,2024-04-28T06:30:23,2024-04-28T20:35:28,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5975,LFMC"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",2024-04-28,46.7,37.7,42.4,45.8,34.2,39.7,34.2,73.4,1.119,100.0,79.17,"rain,snow",1.8,3.2,30.6,8.5,136.4,1015.7,100.0,1.3,96.8,8.6,4,10,2024-04-28T06:29:11,2024-04-28T20:36:45,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",2024-04-28,62.0,51.9,57.2,62.0,51.9,57.2,50.3,78.3,0.902,100.0,45.83,rain,0.0,0.2,11.9,11.7,27.2,1016.2,97.1,10.4,126.1,10.9,4,10,2024-04-28T06:27:09,2024-04-28T20:31:35,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",2024-04-28,64.3,50.3,54.8,64.3,50.3,54.8,49.8,84.9,2.13,100.0,95.83,rain,0.0,0.0,40.9,25.3,144.2,1013.2,99.3,4.4,7.6,0.6,0,10,2024-04-28T06:36:17,2024-04-28T20:44:11,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFHP,LFMO"
"Mazerny, Grand Est, France",2024-04-28,58.7,49.5,54.7,58.7,48.7,54.7,44.0,67.6,0.036,100.0,16.67,rain,0.0,0.0,36.5,19.7,192.8,1008.6,75.3,11.1,161.1,13.9,6,10,2024-04-28T06:23:43,2024-04-28T20:55:21,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"F0693,EBFS"
"Brassac, Occitanie, France",2024-04-28,57.6,49.2,53.8,57.6,49.2,53.8,48.6,83.1,0.34,100.0,37.5,rain,0.0,0.0,36.2,11.1,232.6,1011.9,97.6,8.0,102.8,9.0,4,10,2024-04-28T06:46:18,2024-04-28T20:49:26,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LFMU,C4848,E4692,LFMK"
"Villechétif, Grand Est, France",2024-04-28,61.4,51.6,56.4,61.4,51.6,56.4,45.2,66.9,0.04,100.0,16.67,rain,0.0,0.0,36.9,23.6,201.5,1010.0,86.8,10.9,150.9,13.1,7,10,2024-04-28T06:28:57,2024-04-28T20:53:46,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFSI,LFOK,LFQB,E8061"
"Ladern-sur-Lauquet, Occitanie, France",2024-04-28,62.5,51.9,55.3,62.5,51.9,55.3,48.0,77.2,0.084,96.8,25.0,rain,0.0,0.0,24.4,11.1,299.8,1011.8,97.9,10.4,144.6,12.4,7,10,2024-04-28T06:47:58,2024-04-28T20:48:54,0.66,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"C4848,E4692,LFMK,LFMP"
"Pont-de-Salars, Occitanie, France",2024-04-28,54.2,44.5,49.2,54.2,39.6,48.3,45.6,87.6,0.257,100.0,58.33,rain,0.0,0.0,41.2,12.8,237.8,1012.1,99.0,8.7,81.5,7.2,4,10,2024-04-28T06:44:00,2024-04-28T20:49:56,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,LFCR
"Saint-Chamas, Provence-Alpes-Côte d'Azur, France",2024-04-28,64.1,57.1,60.6,64.1,57.1,60.6,53.1,77.1,0.575,100.0,83.33,rain,0.0,0.0,41.2,23.1,133.7,1013.2,98.5,9.3,39.9,3.3,1,10,2024-04-28T06:36:20,2024-04-28T20:39:07,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMV,LFMY,LFMI,E6174,LFML"
"May-sur-Orne, Normandie, France",2024-04-28,54.6,45.2,50.3,54.6,39.4,48.1,46.2,86.2,0.131,100.0,54.17,rain,0.0,0.0,34.4,21.4,234.9,1006.3,84.6,9.9,214.5,18.5,8,10,2024-04-28T06:44:59,2024-04-28T21:13:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFRK,LFOH,LFRG"
"Thiézac, Auvergne-Rhône-Alpes, France",2024-04-28,52.8,44.5,48.3,52.8,39.6,47.0,42.6,81.6,0.559,100.0,20.83,rain,0.0,0.0,45.0,12.8,248.1,1012.3,97.6,9.9,119.0,10.0,5,10,2024-04-28T06:42:39,2024-04-28T20:51:47,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,LFCR
"Champniers, Nouvelle-Aquitaine, France",2024-04-28,60.0,47.7,53.8,60.0,44.2,53.0,46.1,76.2,0.016,77.4,12.5,rain,0.0,0.0,31.1,17.6,215.6,1011.2,68.9,11.0,267.2,22.9,9,10,2024-04-28T06:50:55,2024-04-28T21:03:14,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,"AV387,LFBL,LFBG"
"Saint-Georges-des-Coteaux, Nouvelle-Aquitaine, France",2024-04-28,58.9,49.3,53.7,58.9,46.4,53.2,47.5,80.0,0.158,100.0,37.5,rain,0.0,0.0,31.1,17.6,221.9,1011.0,67.1,10.4,290.8,25.2,9,10,2024-04-28T06:54:28,2024-04-28T21:07:01,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFBH,D6101,LFBG"
"Osmoy, Île-de-France, France",2024-04-28,58.9,49.0,52.6,58.9,43.4,51.2,45.6,78.5,0.044,100.0,25.0,rain,0.0,0.0,35.1,16.9,212.1,1007.5,80.4,9.6,232.5,20.0,8,10,2024-04-28T06:37:14,2024-04-28T21:04:57,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFPV,LFOE,LFPN,F3628,LFPT"
"Corrèze, Nouvelle-Aquitaine, France",2024-04-28,57.5,45.8,50.9,57.5,42.4,49.6,44.1,78.6,0.41,100.0,12.5,rain,0.0,0.0,35.1,9.4,212.2,1011.9,84.4,10.8,247.5,21.4,8,10,2024-04-28T06:45:01,2024-04-28T20:55:46,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LFSL,LFBL,F1092"
"Santa-Maria-Siché, Corse, France",2024-04-28,72.7,57.0,62.2,72.7,57.0,62.2,42.7,51.2,0.0,0.0,0.0,,0.0,0.0,50.6,11.0,108.9,1014.9,73.8,11.0,300.1,26.1,9,10,2024-04-28T06:23:58,2024-04-28T20:19:53,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFKS,LFKC,LFKF,LFKJ"
"Érone, Corse, France",2024-04-28,65.5,51.3,58.5,65.5,51.3,58.5,46.0,64.5,0.0,0.0,0.0,,0.0,0.0,32.2,11.6,151.2,1016.3,73.6,11.0,293.7,25.4,9,10,2024-04-28T06:21:49,2024-04-28T20:19:42,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFKC,LFKS,LFKB,LFKJ"
"Saint-Martin-du-Mont(Côte d'Or), Bourgogne-Franche-Comté, France",2024-04-29,60.8,51.3,54.6,60.8,51.3,54.6,48.6,81.4,2.084,100.0,79.17,rain,0.0,0.0,31.8,9.5,191.7,1012.7,96.3,6.9,19.8,1.7,1,10,2024-04-28T06:29:34,2024-04-28T20:43:38,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Plaine-Haute, Bretagne, France",2024-04-28,51.9,44.5,48.3,51.9,39.1,46.0,44.4,86.5,0.276,100.0,54.17,rain,0.0,0.0,19.0,12.8,270.9,1008.0,85.5,9.3,183.9,15.8,6,10,2024-04-28T06:56:34,2024-04-28T21:22:09,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFRO,F3057,LFRT,LFRD"
"Moutier-d'Ahun, Nouvelle-Aquitaine, France",2024-04-28,57.3,44.5,50.0,57.3,39.1,47.5,42.5,77.5,0.224,100.0,8.33,rain,0.0,0.0,33.1,18.3,214.0,1011.2,80.2,11.3,202.2,17.6,8,10,2024-04-28T06:42:39,2024-04-28T20:56:42,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LFBL,F1092"
"Notre-Dame-de-Sanilhac, Sanilhac, Nouvelle-Aquitaine, France",2024-04-28,61.2,46.3,53.1,61.2,43.1,52.1,45.3,76.4,0.0,51.6,0.0,rain,0.0,0.0,29.5,9.4,222.6,1012.3,63.2,10.4,286.6,24.8,9,10,2024-04-28T06:50:13,2024-04-28T20:59:51,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,"LFSL,LFBE"
"Chevigney-lès-Vercel, Bourgogne-Franche-Comté, France",2024-04-28,52.8,45.4,47.9,52.8,42.1,46.6,42.1,81.3,0.985,100.0,83.33,rain,0.0,0.0,16.8,7.8,224.5,1013.4,89.9,5.7,30.5,2.6,2,10,2024-04-28T06:22:54,2024-04-28T20:42:00,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LSGC,LSMP,LFSX,E5976,LFGJ,E5758"
"Saint-Sauveur-en-Diois, Auvergne-Rhône-Alpes, France",2024-04-28,63.5,47.7,54.4,63.5,47.7,54.4,47.1,77.6,0.907,100.0,95.83,rain,0.0,0.0,69.3,17.2,155.2,1012.8,98.6,7.5,40.8,3.6,1,10,2024-04-28T06:33:26,2024-04-28T20:41:04,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F1608,LFLS,LFMO"
"Quittebeuf, Normandie, France",2024-04-28,56.7,46.5,50.9,56.7,43.7,48.5,46.6,85.7,0.143,100.0,54.17,rain,0.0,0.0,32.0,17.2,210.2,1006.9,81.5,10.1,225.6,19.5,8,10,2024-04-28T06:39:26,2024-04-28T21:08:25,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFOE,LFOP,LFRG,F3628,LFPT"
"Nogent-sur-Eure, Centre-Val de Loire, France",2024-04-28,59.4,47.2,52.2,59.4,42.5,49.9,45.5,79.8,0.08,100.0,33.33,rain,0.0,0.0,33.1,18.1,211.5,1008.0,71.8,9.6,253.7,22.1,9,10,2024-04-28T06:39:53,2024-04-28T21:05:07,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFOE,LFPV,E5773,LFOJ,LFPN"
"Lopérec, Bretagne, France",2024-04-28,54.9,44.0,49.0,54.9,40.1,47.5,42.7,79.6,0.072,77.4,25.0,rain,0.0,0.0,19.2,8.7,281.9,1008.8,66.0,8.8,239.4,20.7,8,10,2024-04-28T07:01:47,2024-04-28T21:26:30,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LFRJ,LFRO,LFRL,LFRB,LFRQ"
"Boucoiran-et-Nozières, Occitanie, France",2024-04-28,62.5,55.1,57.9,62.5,55.1,57.9,53.6,86.2,1.293,100.0,95.83,rain,0.0,0.0,42.5,25.6,146.8,1012.9,99.2,5.5,23.4,2.0,2,10,2024-04-28T06:38:47,2024-04-28T20:43:28,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMV,LFMT,LFTW,LFMO"
"Longages, Occitanie, France",2024-04-28,63.8,49.9,55.6,63.8,47.7,55.5,46.0,71.5,0.048,100.0,16.67,rain,0.0,0.0,20.4,12.8,329.5,1012.3,94.3,11.2,172.8,14.9,7,10,2024-04-28T06:51:55,2024-04-28T20:53:55,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,LFBO
"Ordan-Larroque, Occitanie, France",2024-04-28,62.9,47.4,54.4,62.9,44.9,53.9,45.3,72.7,0.004,93.5,4.17,rain,0.0,0.0,18.1,7.1,337.3,1012.5,85.0,10.5,263.9,22.7,8,10,2024-04-28T06:54:19,2024-04-28T20:57:43,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LFBO,LFBA,LFBP,LFBT"
"Bordeaux, Nouvelle-Aquitaine, France",2024-04-28,61.4,44.5,53.9,61.4,41.2,53.0,46.6,77.5,0.016,29.0,16.67,rain,0.0,0.0,31.1,18.3,235.1,1012.0,63.1,10.8,235.0,20.2,8,10,2024-04-28T06:56:01,2024-04-28T21:04:24,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C8425,LFBC,LFBD"
"Cabrières, Occitanie, France",2024-04-28,62.6,55.8,58.5,62.6,55.8,58.5,53.8,85.0,1.428,100.0,95.83,rain,0.0,0.0,42.5,25.9,144.8,1012.9,99.1,5.5,17.0,1.4,1,10,2024-04-28T06:37:50,2024-04-28T20:42:07,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFMV,LFMT,LFMI,LFMY,LFTW,LFMO"
"Betton, Bretagne, France",2024-04-28,55.7,44.5,50.7,55.7,40.6,49.0,45.4,82.7,0.282,100.0,50.0,rain,0.0,0.0,26.6,11.9,247.6,1008.2,74.4,8.8,242.9,21.0,8,10,2024-04-28T06:52:25,2024-04-28T21:16:39,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFRN,D5919,LFRD"
"Niherne, Centre-Val de Loire, France",2024-04-28,60.2,48.1,52.8,60.2,41.9,50.9,45.9,78.9,0.008,100.0,8.33,rain,0.0,0.0,31.1,17.0,217.1,1010.5,63.3,10.5,294.9,25.4,9,10,2024-04-28T06:42:54,2024-04-28T21:00:25,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LFYR,LFLX"
"Sorigny, Centre-Val de Loire, France",2024-04-28,58.9,46.6,52.5,58.9,41.0,50.6,46.9,82.2,0.131,100.0,25.0,rain,0.0,0.0,29.1,14.4,215.1,1009.4,73.1,10.6,273.5,23.5,8,10,2024-04-28T06:45:23,2024-04-28T21:04:55,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LFYR,LFBI,LFOT"
"Veurey-Voroize, Auvergne-Rhône-Alpes, France",2024-04-28,62.7,47.9,54.5,62.7,45.0,54.1,43.5,67.5,0.267,100.0,91.67,rain,0.0,0.0,49.9,14.7,197.8,1012.0,98.0,8.5,94.5,8.1,5,10,2024-04-28T06:30:18,2024-04-28T20:40:34,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F1608,LFLS,LFLB,LFLL"
"Marre, Grand Est, France",2024-04-28,59.0,50.8,54.9,59.0,50.8,54.9,45.3,70.6,0.06,100.0,20.83,rain,0.0,0.0,35.3,17.8,192.0,1010.7,95.4,11.0,186.9,16.0,7,10,2024-04-28T06:22:01,2024-04-28T20:51:30,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"LFSI,D9638,LFJL"
"Villenave, Nouvelle-Aquitaine, France",2024-04-28,63.9,47.0,54.2,63.9,45.1,53.7,45.2,73.2,0.016,12.9,12.5,rain,0.0,0.0,21.3,10.1,253.7,1012.5,64.4,10.8,204.8,17.6,8,10,2024-04-28T06:58:48,2024-04-28T21:03:24,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFBZ,LFBY,LFBM,LFBC,LFBP"
"Saint-Claude-de-Diray, Centre-Val de Loire, France",2024-04-28,60.5,48.1,52.9,60.5,42.6,51.0,46.1,79.2,0.044,100.0,29.17,rain,0.0,0.0,28.9,15.6,213.8,1009.3,64.4,10.4,274.0,23.7,9,10,2024-04-28T06:41:34,2024-04-28T21:02:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LFYR,LFOJ,LFOT"
"Poncins, Auvergne-Rhône-Alpes, France",2024-04-28,59.1,48.9,53.0,59.1,44.6,52.6,47.8,83.1,0.553,100.0,66.67,rain,0.0,0.0,42.5,21.3,162.0,1012.2,98.1,5.6,19.2,1.7,1,10,2024-04-28T06:35:04,2024-04-28T20:47:25,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFLY,LFMH,LFLL,D2904"
"Saint-Paulien, Auvergne-Rhône-Alpes, France",2024-04-28,58.9,46.1,50.6,58.9,43.2,49.9,45.9,84.6,0.866,100.0,70.83,rain,0.0,0.0,42.5,26.4,163.9,1011.9,99.0,5.5,18.3,1.7,1,10,2024-04-28T06:37:48,2024-04-28T20:47:28,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFHP,LFMH"
